show_title,type,genre,rating,fixed_sent,article_score,article_subj,year,week_gross,avg_ticket,top_ticket,seats_sold,seats_in_theater,num_performances,capacity_filled
Cats,musical,classic,4.0,1.0,0.11,0.46,1994.684994272623,466523.76632302406,47.331168384879724,63.96036655211913,9975.883161512027,1472.5223367697595,7.973654066437572,84.75295532646048
Chicago,musical,classic,5.0,1.0,0.18,0.38,2009.1622441243367,565095.4303108415,74.42288097043215,177.17384382107656,7710.114480667172,1172.1432903714935,7.944655041698256,82.57309325246399
Chicken & Biscuits,play,comedy,5.0,1.0,0.1,0.48000000000000004,2021.0,143533.6311111111,44.900000000000006,44.900000000000006,3470.222222222222,751.0,4.555555555555555,71.79666666666667
Clyde's,play,comedy,4.0,1.0,0.04,0.42999999999999994,2021.2727272727273,190895.31000000003,60.24545454545455,60.24545454545455,3168.0,585.0,5.636363636363637,69.27363636363636
Cost of Living,play,drama,4.0,1.0,0.1,0.48,2022.0,194434.5,54.464999999999996,267.0,3611.375,625.0,5.0,75.99875
Cyrano de Bergerac,play,drama,5.0,1.0,0.11999999999999998,0.54,2009.5454545454545,475792.6818181818,69.29590909090909,150.6722727272727,6328.590909090909,1037.409090909091,4.909090909090909,82.39181818181818
Dana H.,play,drama,4.5,1.0,0.1,0.515,2021.0,92836.54777777779,48.352222222222224,48.352222222222224,1826.0,922.0,2.7777777777777777,49.89
Dear Evan Hansen,musical,drama,5.0,1.0,0.24,0.51,2018.774647887324,1268884.2945539907,163.2810798122066,356.0568544600939,7668.6760563380285,983.9953051643192,7.835680751173709,98.17089201877936
Death of a Salesman,play,classic,5.0,1.0,0.11999999999999998,0.5,2007.445945945946,498939.3885135135,74.92824324324324,187.42567567567568,6788.851351351352,1039.2972972972973,6.27027027027027,89.9245945945946
Derren Brown: Secret,other,other_genre,5.0,1.0,0.12,0.55,2019.0588235294117,415585.9082352941,83.28588235294119,297.0,4990.235294117647,1017.4117647058823,6.647058823529412,70.06470588235294
Evita,musical,historical,4.0,1.0,0.12,0.4,2012.0869565217392,1145177.7173913044,110.04499999999999,275.0,10322.891304347826,1607.8260869565217,7.326086956521739,81.47717391304347
Fat Ham,play,tragedy,4.0,1.0,0.16,0.475,2023.0,367229.6733333333,74.01333333333334,247.0,4934.066666666667,704.0,6.333333333333333,90.784
Fiddler on the Roof,musical,classic,4.0,1.0,0.16,0.43,2005.6461538461538,620459.1857435898,64.58676923076924,129.5708717948718,9540.138461538461,1733.148717948718,7.4512820512820515,69.95728205128205
Frozen,musical,fam_friendly,4.0,1.0,0.22,0.51,2016.6422764227643,1270555.975609756,103.68829268292683,250.34146341463415,11396.959349593495,1540.60162601626,7.658536585365853,90.79666666666667
Grey House,play,thriller,3.0,0.0,0.0,0.41,2023.0,367906.9328571428,78.52071428571428,249.85714285714286,4803.285714285715,901.1428571428571,4.571428571428571,74.34571428571428
Hadestown,musical,other_genre,4.0,1.0,0.13,0.48000000000000004,2021.240506329114,966668.9351898733,134.62854430379747,209.30664556962023,7152.879746835443,918.0,7.7025316455696204,98.97930379746835
Hamilton,musical,other_genre,5.0,1.0,0.15,0.44,2018.8275862068965,2503591.319683908,235.861091954023,628.9201149425288,10598.790229885057,1322.1293103448277,7.890804597701149,100.64149425287356
Harry Potter and the Cursed Child,play,drama,5.0,1.0,0.14,0.52,2020.465,1548985.229,127.706,290.03495,12115.53,1615.765,7.6,95.04555
Here Lies Love,musical,other_genre,4.0,1.0,0.18,0.41,2023.0,676510.0946666667,96.054,329.6666666666667,7141.533333333334,1073.7333333333333,5.2,90.13266666666667
Into the Woods,musical,dark_comedy,5.0,1.0,0.17,0.47,1997.0359281437127,486217.8383832336,56.02796407185629,64.44640718562874,8215.694610778442,1303.0838323353294,7.502994011976048,78.61976047904191
Jagged Little Pill,musical,jukebox,5.0,1.0,0.08,0.47000000000000003,2020.0,868668.3671428572,114.22607142857143,255.2135714285714,7680.785714285715,1125.392857142857,6.0,93.12249999999999
